season_id,date,Team,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,Round 10,Round 11,Round 12,Round 13,Round 14,Round 15,Round 16,Round 17,Round 18,Round 19,Round 20,Round 21,Round 22,Round 23,Round 24,Round 25,Round 26,Round 27,Round 28,Round 29,Round 30
2797275,25/01/24,London Guns,W,D,D,W,D,W,L,L,W,L,W,D,L,W,W,L,D,W,W,W,D,D,W,W,W,W,W,W,L,D
2797275,25/01/24,Everton,D,D,D,W,W,L,L,D,L,L,D,D,D,L,W,D,L,D,L,W,W,W,W,D,L,W,L,L,L,W
2797275,25/01/24,Burnley,L,W,L,D,D,W,L,D,L,L,D,W,W,D,L,W,W,L,L,L,D,D,L,L,D,L,W,L,D,L
2797275,25/01/24,Southampton,W,W,L,L,L,L,L,W,L,D,D,L,L,W,L,L,W,L,W,D,L,L,L,L,L,L,L,W,L,D
2797275,25/01/24,Leicester,W,W,L,W,D,L,W,D,L,L,L,D,L,D,L,W,L,W,L,L,L,L,W,L,L,L,D,D,L,L
2797275,25/01/24,Crystal Palace,D,L,D,L,L,L,L,L,W,D,W,L,W,L,L,D,L,L,L,L,L,W,W,W,L,L,L,L,W,L
2797275,25/01/24,Newcastle,D,L,L,L,L,W,W,W,W,W,L,W,L,L,L,D,W,L,D,L,W,D,W,D,D,W,L,D,L,L
2797297,25/01/24,Chelsea,L,L,L,W,L,L,W,W,L,W,W,L,L,D,D,W,D,L,L,L,W,D,D,W,W,W,W,W,D,L
2797297,25/01/24,Liverpool,D,D,W,L,W,W,D,W,W,W,W,D,L,L,D,W,D,W,W,W,L,W,D,D,W,W,D,W,W,W
2797297,25/01/24,Tottenham,D,W,W,D,D,W,L,W,D,W,D,W,D,L,W,L,L,W,W,W,W,D,W,W,L,W,W,W,D,D
2797297,25/01/24,Manchester Blue,W,D,W,L,W,L,W,W,L,W,W,W,L,W,W,W,D,W,W,W,L,W,W,L,W,W,W,L,L,W
2797297,25/01/24,Bournemouth,L,W,W,D,L,W,W,L,W,D,W,D,W,D,L,L,D,W,L,L,W,L,D,D,L,L,L,W,D,D
2797297,25/01/24,West Ham,W,L,L,D,L,W,W,L,W,L,L,W,W,W,L,W,D,L,W,W,L,W,L,L,W,L,L,W,W,W
2797297,25/01/24,Manchester Reds,D,D,W,D,L,L,D,L,W,W,L,D,D,W,W,W,D,W,L,D,W,L,W,W,D,W,D,W,L,D
2797297,25/01/24,Wolverhampton,W,W,W,D,W,L,W,W,L,D,L,W,D,L,W,L,L,W,D,W,W,W,W,L,D,L,L,L,L,L
2797297,25/01/24,Watford,L,W,L,L,W,L,D,L,L,D,L,D,D,L,W,L,D,L,L,L,D,W,L,W,W,L,L,L,W,L
2797297,25/01/24,London Guns,W,D,L,W,W,W,L,L,D,W,W,L,D,W,D,W,D,D,W,D,L,L,D,L,W,W,L,W,W,W
2797297,25/01/24,Everton,L,L,L,W,D,W,D,W,W,L,D,W,L,W,D,W,D,L,L,D,D,W,D,W,L,L,W,L,W,L
2797297,25/01/24,Burnley,D,W,L,W,D,W,L,L,L,L,D,L,D,L,L,D,L,L,L,L,L,W,L,D,L,W,W,W,L,D
2797297,25/01/24,Southampton,W,L,W,D,D,L,L,W,L,L,D,D,D,L,L,L,W,D,L,D,W,L,L,D,L,L,W,L,D,L
2797297,25/01/24,Leicester,L,W,L,D,D,L,D,L,W,L,D,L,W,W,D,L,D,W,D,W,L,L,W,L,D,W,L,L,D,L
2797297,25/01/24,Crystal Palace,D,L,L,L,D,L,L,L,L,D,D,D,W,W,L,L,W,L,W,L,W,L,D,W,D,L,W,L,D,W
2797297,25/01/24,Newcastle,D,L,W,D,L,W,D,W,W,L,L,L,D,L,D,D,W,L,W,L,L,L,L,L,L,L,L,L,L,W
2797325,25/01/24,Chelsea,W,W,W,W,W,L,L,L,W,L,D,D,W,W,L,D,W,W,D,L,W,D,D,W,L,W,W,W,W,D
2797325,25/01/24,Liverpool,L,D,D,W,W,W,D,L,L,W,W,W,L,W,W,L,L,D,W,D,W,W,W,L,W,W,W,W,D,D
2797325,25/01/24,Tottenham,W,W,L,L,W,W,W,L,D,W,D,D,W,D,W,W,D,L,D,W,D,W,W,L,D,W,D,D,L,L
2797325,25/01/24,Manchester Blue,W,W,W,D,L,D,W,W,W,L,W,L,W,W,W,D,W,L,D,D,D,D,L,W,W,W,L,D,L,W
2797325,25/01/24,Bournemouth,D,D,W,L,L,L,D,W,L,L,D,W,W,W,W,D,W,D,D,L,L,D,W,L,D,D,W,W,W,D
2797325,25/01/24,West Ham,L,L,L,L,L,L,L,L,L,L,W,D,L,L,L,W,L,L,D,W,L,D,L,W,L,D,L,D,L,W
2797325,25/01/24,Manchester Reds,W,W,W,W,D,W,D,L,L,L,D,L,L,L,W,D,W,W,D,W,W,L,D,L,D,D,L,W,W,D
2797325,25/01/24,Wolverhampton,L,L,L,W,L,W,W,D,L,W,D,W,W,D,W,D,L,W,D,D,W,D,W,D,W,W,W,L,W,D
2797325,25/01/24,Watford,L,L,L,L,W,D,W,W,D,D,L,W,D,L,L,D,D,D,W,W,D,D,D,D,L,D,D,L,D,D
2797325,25/01/24,London Guns,L,W,D,W,L,L,D,D,W,W,L,W,W,W,W,W,W,D,L,W,D,D,L,W,L,W,W,W,L,L
2797325,25/01/24,Everton,L,W,L,D,W,W,W,L,W,D,D,D,L,L,W,D,L,L,D,D,W,D,W,W,W,L,D,L,W,W
2797325,25/01/24,Burnley,L,L,W,D,L,L,L,W,D,W,W,W,L,D,L,D,W,W,W,W,L,D,D,W,D,L,W,D,L,D
2797325,25/01/24,Southampton,W,L,W,L,L,W,L,L,L,L,L,L,W,W,L,L,W,D,L,L,L,L,L,L,L,L,L,L,L,L
2797325,25/01/24,Leicester,D,L,L,D,W,L,D,W,W,D,D,L,D,L,L,D,L,D,D,L,L,W,L,L,W,L,L,W,L,W
2797325,25/01/24,Crystal Palace,W,W,L,D,D,W,L,W,W,D,L,L,L,D,L,L,L,W,L,L,D,D,W,D,L,L,D,L,W,D
